year,series_id,return_decimal
1994,inflation,0.026749000000
1995,inflation,0.025384100000
1996,inflation,0.033224800000
1997,inflation,0.017024000000
1998,inflation,0.016119000000
1999,inflation,0.026845600000
2000,inflation,0.033868100000
2001,inflation,0.015517200000
2002,inflation,0.023769100000
2003,inflation,0.018794900000
2004,inflation,0.032555600000
2005,inflation,0.034156600000
2006,inflation,0.025406500000
2007,inflation,0.040812700000
2008,inflation,0.000914100000
2009,inflation,0.027213300000
2010,inflation,0.014957200000
2011,inflation,0.029624200000
2012,inflation,0.017410200000
2013,inflation,0.015017400000
2014,inflation,0.007564900000
2015,inflation,0.007295200000
2016,inflation,0.020746200000
2017,inflation,0.021090800000
2018,inflation,0.019101600000
2019,inflation,0.022851300000
2020,inflation,0.013620100000
2021,inflation,0.070364000000
2022,inflation,0.064544000000
2023,inflation,0.033521200000
2024,inflation,0.028880600000
2025,inflation,0.027350800000
